Citation,Authors,Year,Title,Journal/Book/ Publisher,Volume,Pages,Language,Multiple studies,Country,State/Province,Name of site/area,Research project,Lat.,Long.,Plotted lat.,Plotted long.,Altitude (m),Forest type,Dominant tree species,Stand age (years),Measure of age,Stand origin,Type of comparison,No. of true replicates,Intervention category,Intervention (specification),Outcome categories,Focal species,Focal communities,Focal biodiversity indicators,Remarks,Google Scholar search
Werner (2002),R. A. Werner,2002,"Effect of ecosystem disturbance on diversity of bark and wood-boring beetles (Coleoptera: Scolytidae, Buprestidae, Cerambycidae) in white spruce (Picea glauca (Moench) Voss) ecosystems of Alaska",USDA Forest Service,PNW-RP-546,,English,,USA,Alaska,Bonanza Creek Experimental Forest,,64.8 N,148.4 W,64.8,-148.4,122-400,Coniferous (floodplain and upland stands),Picea glauca,100 (floodplain); 165 (upland),,,CI,2 in each of 2 stand types,"BURN, PART",Prescribed burning; shelterwood harvesting. (Study also reports on clearcutting.),"TreeAbuns, VascAbuns, BeetsAbuns, BeetsAbunt",,Saproxylic beetles,,,http://scholar.google.co.uk/scholar?q=Effect+of+ecosystem+disturbance+on+diversity+of+bark+and+wood-boring+beetles+in+white+spruce+ecosystems+of+Alaska&btnG=&hl=en&as_sdt=0%2C5
Davidsson (2013),C. Davidsson,2013,Skogsbrandens betydelse för pyrofila insekter - en jämförelse mellan Sverige och Alaska,"SLU, Fakulteten för skogsvetenskap, Kandidatarbeten i skogsvetenskap",2013:9,,Swedish,,USA,Alaska,Caribou-Poker Creek Research Watershed,,65.17 N,147 W,65.17,-147,280-680,Coniferous; mixed,"Picea mariana, Populus tremuloides, Betula papyrifera",,,,CI,1,BURN,Prescribed burning,"BeetsAbuns, BeetgAbuns","Bembidion grapii, Corticaria ferruginea, Corticaria planula, Corticaria rubripes, Cryptophagus quadrihamatus, Melanophila acuminata, Monochamus scutellatus, Sericoda bogemannii, Sericoda quadripunctata, Tachinus basalis (beetles)",,,,http://scholar.google.co.uk/scholar?q=Skogsbrandens+betydelse+för+pyrofila+insekter+-+en+jämförelse+mellan+Sverige+och+Alaska&btnG=&hl=en&as_sdt=0%2C5
Boucher (2003),T. V. Boucher,2003,"Vegetation response to prescribed fire in the Kenai Mountains, Alaska",USDA Forest Service,PNW-RP-554,,English,,USA,Alaska,"Chugach National Forest, Kenai Mountains",,60.8 N,149.7 W,60.8,-149.7,165-425,Mixed,"Picea x lutzii, Tsuga mertensiana, Betula papyrifera
",65-215 (I),,,BA (4 sites) or CI (13 sites),17,BURN,Prescribed burning,"TreeAbuns, TreeAbunt, TreeComp, VascAbuns, VascAbunt, VascComp",,Trees and other vascular plants,,BA and CI data pooled in reported averages,"http://scholar.google.co.uk/scholar?q=Vegetation+response+to+prescribed+fire+in+the+Kenai+Mountains,+Alaska&btnG=&hl=en&as_sdt=0%2C5"
Dellasala et al. (1996),"D. A. Dellasala, J. C. Hagar, K. A. Engel, W. C. McComb, R. L. Fairbanks and E. G. Campbell",1996,"Effects of silvicultural modifications of temperate rainforest on breeding and wintering bird communities, Prince of Wales Island, southeast Alaska",Condor,98,706-721,English,,USA,Alaska,Prince of Wales Island,,56.02 N,132.85 W,56.02,-132.85,0-305,Coniferous (temperate rainforest),"Picea sitchensis, Tsuga heterophylla, Thuja plicata, Chamaecyparis nootkatensis",15 (I); 20 (S),O,Naturally regenerated after clearcutting,CI,5,"PART, THIN",Precommercial thinning; gap felling (0.05 ha gaps),"VertDiam, VertHeight, HorizGap, TreeAbunt, TreeRich, VascAbunt, DeadAbunt, BirdAbuns, BirdAbunt, BirdRich",,Birds,Vertical and horizontal stand structure,Study also reports on old-growth forest,"http://scholar.google.co.uk/scholar?q=Effects+of+silvicultural+modifications+of+temperate+rainforest+on+breeding+and+wintering+bird+communities,+Prince+of+Wales+Island,+southeast+Alaska&btnG=&hl=en&as_sdt=0%2C5"
Matsuoka et al. (2012),"S. M. Matsuoka, J. A. Johnson and D.  A. DellaSala",2012,Succession of bird communities in young temperate rainforests following thinning,Journal of Wildlife Management,76,919-931,English,,USA,Alaska,Prince of Wales Island,,56.02 N,132.85 W,56.02,-132.85,0-305,Coniferous (temperate rainforest),"Picea sitchensis, Tsuga heterophylla, Thuja plicata",15 (I); 35 (S),O,Regenerated after clearcutting,CI,5,THIN,Precommercial thinning,"TreeAbunt, VertHeight, DeadAbunt, VascAbunt, BirdAbuns, BirdAbunt",,Birds,Vertical stand structure,Study also reports on old-growth forest,http://scholar.google.co.uk/scholar?q=Succession+of+bird+communities+in+young+temperate+rainforests+following+thinning&btnG=&hl=en&as_sdt=0%2C5
Deal (2001),R. L. Deal,2001,The effects of partial cutting on forest plant communities of western hemlock--Sitka spruce stands in southeast Alaska,Canadian Journal of Forest Research,31,2067-2079,English,,USA,Alaska,SE Alaska,ATC (Alternatives to Clearcutting in the Old-Growth Forests of Southeast Alaska),55-58 N,131-136 W,56.5,-133.5,< 100,Coniferous (temperate rainforest),"Tsuga heterophylla, Picea sitchensis",Old-growth (I),,,CI,18 (but retention levels and time since harvest vary from site to site),PART,"Partial harvesting 12-96 years before sampling, 4-84% retention","VascRich, VascAbuns, VascComp, TreeAbuns, TreeAbunt, BryoRich, BryoComp, LichRich, LichComp",,Trees and other vascular plants; bryophytes; lichens,,,http://scholar.google.co.uk/scholar?q=The+effects+of+partial+cutting+on+forest+plant+communities+of+western+hemlock--Sitka+spruce+stands+in+southeast+Alaska&btnG=&hl=en&as_sdt=0%2C5
Deal et al. (2002),"R. L. Deal, J. C. Tappeiner and P. E. Hennon",2002,Developing silvicultural systems based on partial cutting in western hemlock-Sitka spruce stands of southeast Alaska,Forestry,75,425-431,English,,USA,Alaska,SE Alaska,ATC (Alternatives to Clearcutting in the Old-Growth Forests of Southeast Alaska),55-58 N,131-136 W,56.5,-133.5,5-100,Coniferous (temperate rainforest),"Tsuga heterophylla, Picea sitchensis",Old-growth (I),,,CI,18 (but retention levels and time since harvest vary from site to site),PART,"Partial harvesting 12-96 years before sampling, 4-84% retention","TreeAbuns, TreeAbunt, TreePerf, TreeMort, DeadAbunt, Micro",,Trees,Dead wood; microhabitats,,http://scholar.google.co.uk/scholar?q=Developing+silvicultural+systems+based+on+partial+cutting+in+western+hemlock-Sitka+spruce+stands+of+southeast+Alaska&btnG=&hl=en&as_sdt=0%2C5
McClellan (2004),M. H. McClellan,2004,Development of silvicultural systems for maintaining old-growth conditions in the temperate rainforest of southeast Alaska,Forest Snow and Landscape Research,78,173-190,English,,USA,Alaska,SE Alaska (Hanus Bay; Portage Bay),ATC (Alternatives to Clearcutting in the Old-Growth Forests of Southeast Alaska),56.9-57.4 N,133.2-135.0 W,57.2,-134,,Coniferous (temperate rainforest),"Tsuga heterophylla, Picea sitchensis, Chamaecyparis nootkatensis, Tsuga mertensiana",Old-growth,,,BACI,2,PART,"Single-tree selection harvesting, gap felling and 'clump retention harvesting', 25 or 75% retention. (Study also reports on low-retention harvesting and clearcutting.)",DeadAbunt,,,Dead wood,Experimental study. Article also includes a brief account of the retrospective study described by Deal et al. (2002).,http://scholar.google.co.uk/scholar?q=Development+of+silvicultural+systems+for+maintaining+old-growth+conditions+in+the+temperate+rainforest+of+southeast+Alaska&btnG=&hl=en&as_sdt=0%2C5
Scott and Oldemeyer (1983),V. E. Scott and J. L. Oldemeyer,1983,Cavity-nesting bird requirements and response to snag cutting in ponderosa pine,"Snag Habitat Management: Proceedings of the Symposium, June 7-9, 1983, Flagstaff, Arizona (J. D. Davis, G. A. Goodwin and R. A. Ockenfels, eds.), USDA Forest Service",,19-23,English,,USA,Arizona,Apache-Sitgreaves National Forest,,34.0 N,109.5 W,34,-109.5,,Coniferous,Pinus ponderosa,Old-growth,,,BACI,1,PART,"Partial harvesting, 46 and 60% retention","TreeAbunt, DeadAbunt, BirdAbuns, BirdAbunt",,Cavity-nesting birds,,,http://scholar.google.co.uk/scholar?q=Cavity-nesting+bird+requirements+and+response+to+snag+cutting+in+ponderosa+pine&btnG=&hl=en&as_sdt=0%2C5
Roccaforte et al. (2015),"J. P. Roccaforte, D. W. Huffman, P. Z. Fulé, W. W. Covington, W. W. Chancellor, M. T. Stoddard and J. E. Crouse",2015,"Forest structure and fuels dynamics following ponderosa pine restoration treatments, White Mountains, Arizona, USA",Forest Ecology and Management,337,174-185,English,,USA,Arizona,Apache-Sitgreaves National Forests (Mineral Ecosystem Management Area),,34.17 N,109.63 W,34.17,-109.63,2340-2580,Coniferous,Pinus ponderosa,,,,BACI,4,"BURN, THIN",Prescribed burning; thinning,"TreeAbunt, VertDiam",,,Vertical stand structure,Sites outside relevant vegetation zones but included as ponderosa pine forests,"http://scholar.google.co.uk/scholar?q=Forest+structure+and+fuels+dynamics+following+ponderosa+pine+restoration+treatments,+White+Mountains,+Arizona,+USA&btnG=&hl=en&as_sdt=0%2C5"
Fowler et al. (2008),"J. F. Fowler, C. H. Sieg, B. G. Dickson and V. Saab",2008,Exotic plant species diversity: Influence of roads and prescribed fire in Arizona ponderosa pine forests,Rangeland Ecology and Management,61,284-293,English,,USA,Arizona,"Apache-Sitgreaves, Coconino and Kaibab National Forests",,34.16-35.38 N,109.92-111.91 W,34.5,-110.2,2100-2250,Coniferous,Pinus ponderosa,,,,BACI,3,BURN,Prescribed burning,"VascAbuns, InvasAbuns, InvasRich",,Nonnative vascular plants,,Sites partly outside relevant vegetation zones but included as ponderosa pine forests,http://scholar.google.co.uk/scholar?q=Exotic+plant+species+diversity:+Influence+of+roads+and+prescribed+fire+in+Arizona+ponderosa+pine+forests&btnG=&hl=en&as_sdt=0%2C5
Pope and Block (2010),T. L. Pope and W. M. Block,2010,Effects of prescribed fire on winter assemblages of birds in ponderosa pine forests of northern Arizona,Southwestern Naturalist,55,22-28,English,,USA,Arizona,Coconino and Kaibab National Forests,Birds and Burns Network,35 N,112 W,35,-112,2070-2300,Coniferous,Pinus ponderosa ,,,,CI,2,BURN,Prescribed burning,BirdAbuns,,Birds,,,http://scholar.google.co.uk/scholar?q=Effects+of+prescribed+fire+on+winter+assemblages+of+birds+in+ponderosa+pine+forests+of+northern+Arizona&btnG=&hl=en&as_sdt=0%2C5
Pope et al. (2009),"T. L. Pope, W. M. Block and P. Beier",2009,"Prescribed fire effects on wintering, bark-foraging birds in northern Arizona",Journal of Wildlife Management,73,695-700,English,,USA,Arizona,Coconino and Kaibab National Forests,Birds and Burns Network,35 N,112 W,35,-112,2070-2300,Coniferous,Pinus ponderosa,,,,CI,2,BURN,Prescribed burning,BirdAbuns,"Picoides villosus (hairy woodpecker), Sitta pygmaea (pygmy nuthatch), Sitta carolinensis (white-breasted nuthatch)",,,,"http://scholar.google.co.uk/scholar?q=Prescribed+fire+effects+on+wintering,+bark-foraging+birds+in+northern+Arizona&btnG=&hl=en&as_sdt=0%2C5"
Hurteau et al. (2008a),"S. R. Hurteau, T. D. Sisk, W. M. Block and B. G. Dickson",2008,Fuel-reduction treatment effects on avian community structure and diversity,Journal of Wildlife Management,72,1168-1174,English,,USA,Arizona,Coconino and Kaibab National Forests (Powerline; Rudd's Tank; K.A. Hill),Fire and Fire Surrogate (FFS) project (Southwest Plateau study area),35.2 N,111.75-112.0 W,35.2,-111.9,2193 (mean),Coniferous,Pinus ponderosa,,,,BACI,3,"BURN, THIN",Thinning; prescribed burning (fuel reduction),"TreeAbunt, BirdAbuns, BirdRich, BirdDiv, BirdComp","Junco hyemalis (dark-eyed junco), Poecile gambeli (mountain chickadee), Sitta pygmaea (pygmy nuthatch), Sialia mexicana (western bluebird), Dendroica coronata (yellow-rumped warbler)",Birds,,Published site coordinates incorrect,http://scholar.google.co.uk/scholar?q=Fuel-reduction+treatment+effects+on+avian+community+structure+and+diversity&btnG=&hl=en&as_sdt=0%2C5
Hurteau et al. (2008b),"S. Hurteau, B. G. Dickson, T. D. Sisk and W. M. Block",2008,"Avian community responses to forest thinning and prescribed surface fire, alone and in combination","The Colorado Plateau III (C. van Riper and M. K. Sogge, eds.), University of Arizona Press",,185-196,English,,USA,Arizona,Coconino and Kaibab National Forests (Powerline; Rudd's Tank; K.A. Hill),Fire and Fire Surrogate (FFS) project (Southwest Plateau study area),35.2 N,111.75-112.0 W,35.2,-111.9,2200 (mean),Coniferous,Pinus ponderosa,,,,BACI,3,"BURN, THIN",Thinning; prescribed burning (fuel reduction),"BirdAbuns, BirdAbunt","Junco hyemalis (dark-eyed junco), Poecile gambeli (mountain chickadee), Sitta pygmaea (pygmy nuthatch), Sialia mexicana (western bluebird), Dendroica coronata (yellow-rumped warbler)",Birds,,,"http://scholar.google.co.uk/scholar?q=Avian+community+responses+to+forest+thinning+and+prescribed+surface+fire,+alone+and+in+combination&btnG=&hl=en&as_sdt=0%2C5"
Hurteau et al. (2010),"S. R. Hurteau, T. D. Sisk, B. G. Dickson and W. M. Block",2010,"Variability in nest density, occupancy, and home range size of western bluebirds after forest treatments",Forest Science,56,131-138,English,,USA,Arizona,Coconino and Kaibab National Forests (Powerline; Rudd's Tank; K.A. Hill),Fire and Fire Surrogate (FFS) project (Southwest Plateau study area),35.2 N,111.75-112.0 W,35.2,-111.9,2193 (mean),Coniferous,Pinus ponderosa,,,,CI,3,"BURN, THIN",Thinning; prescribed burning (fuel reduction),"TreeAbunt, BirdAbuns, BirdPerf, DeadAbunt",Sialia mexicana (western bluebird),,,Published site coordinates incorrect,"http://scholar.google.co.uk/scholar?q=Variability+in+nest+density,+occupancy,+and+home+range+size+of+western+bluebirds+after+forest+treatments&btnG=&hl=en&as_sdt=0%2C5"
Chen et al. (2006),"Z. Chen, K. Grady, S. Stephens, J. Villa-Castillo and M. R. Wagner",2006,"Fuel reduction treatment and wildfire influence on carabid and tenebrionid community assemblages in the ponderosa pine forest of northern Arizona, USA",Forest Ecology and Management,225,168-177,English,,USA,Arizona,Coconino National Forest,Stand Treatment Impacts on Forest Health (STIFH) Project,35.13 N,111.67 W,35.13,-111.67,2000-2500,Coniferous,Pinus ponderosa,,,,CI,4,"BURN, THIN",Thinning; prescribed burning (fuel reduction). (Study also reports on wildfire.),"BeetgAbuns, BeetgAbunt, BeetgDiv, BeetgRich, BeetgComp",,Carabids; tenebrionids,,,"http://scholar.google.co.uk/scholar?q=Fuel+reduction+treatment+and+wildfire+influence+on+carabid+and+tenebrionid+community+assemblages+in+the+ponderosa+pine+forest+of+northern+Arizona,+USA&btnG=&hl=en&as_sdt=0%2C5"
Sabo et al. (2009),"K. E. Sabo, C. H. Sieg, S. C. Hart and J. D. Bailey",2009,"The role of disturbance severity and canopy closure on standing crop of understory plant species in ponderosa pine stands in northern Arizona, USA",Forest Ecology and Management,257,1656-1662,English,,USA,Arizona,Coconino National Forest,,35.13 N,111.67 W,35.13,-111.67,2160-2440,Coniferous,Pinus ponderosa,,,,CI,3,"BURN, GRAZ, THIN",Thinning; prescribed burning; exclusion of cattle and sheep (but not wild ungulates). (Study also reports on wildfire.),"VascAbunt, TreeAbunt, VertDiam",,Trees and other vascular plants,,,"http://scholar.google.co.uk/scholar?q=The+role+of+disturbance+severity+and+canopy+closure+on+standing+crop+of+understory+plant+species+in+ponderosa+pine+stands+in+northern+Arizona,+USA&btnG=&hl=en&as_sdt=0%2C5"
Sánchez-Martínez and Wagner (2002),G. Sánchez-Martínez and M. R. Wagner,2002,Bark beetle community structure under four ponderosa pine forest stand conditions in northern Arizona,Forest Ecology and Management,170,145-160,English,,USA,Arizona,Coconino National Forest,Stand Treatment Impacts on Forest Health (STIFH) Project,35.13 N,111.67 W,35.13,-111.67,,Coniferous,Pinus ponderosa,,,Second-growth,CI,4,"BURN, THIN",Thinning; prescribed burning. (Study also reports on wildfire.),"TreeAbunt, VertDiam, BeetsAbuns, BeetsAbunt",,Bark beetles,,,http://scholar.google.co.uk/scholar?q=Bark+beetle+community+structure+under+four+ponderosa+pine+forest+stand+conditions+in+northern+Arizona&btnG=&hl=en&as_sdt=0%2C5
Villa-Castillo and Wagner (2002),J. Villa-Castillo and M. R. Wagner,2002,Ground beetle (Coleoptera: Carabidae) species assemblage as an indicator of forest condition in northern Arizona ponderosa pine forests,Environmental Entomology,31,242-252,English,,USA,Arizona,Coconino National Forest,Stand Treatment Impacts on Forest Health (STIFH) Project,35.13 N,111.67 W,35.13,-111.67,2150-2500,Coniferous,Pinus ponderosa,,,,CI,4,"BURN, THIN",Thinning; prescribed burning. (Study also reports on wildfire.),"TreeAbunt, VascAbunt, InvasAbunt, DeadAbunt, BeetgAbuns, BeetgRich, BeetgDiv",,Carabids,,,http://scholar.google.co.uk/scholar?q=Ground+beetle+Coleoptera+Carabidae+species+assemblage+as+an+indicator+of+forest+condition+in+northern+Arizona+ponderosa+pine+forests&btnG=&hl=en&as_sdt=0%2C5
Bailey and Whitham (2002),J. K. Bailey and T. G. Whitham,2002,"Interactions among fire, aspen, and elk affect insect diversity: Reversal of a community response",Ecology,83,1701-1712,English,,USA,Arizona,Coconino National Forest ,,35.5 N,111.9 W,35.5,-111.9,,Broadleaf,Populus tremuloides,"Mature, but partly subject to wildfire in 1996",,,CI,2,GRAZ,Exclusion of elk (Cervus canadensis),"BeetoAbunt, BeetoRich, BeetoComp, InsAbunt, InsRich, InsComp, ArthAbunt, ArthRich, ArthComp",,Arthropods,,,"http://scholar.google.co.uk/scholar?q=Interactions+among+fire,+aspen,+and+elk+affect+insect+diversity:+Reversal+of+a+community+response&btnG=&hl=en&as_sdt=0%2C5"
Bailey and Whitham (2003),J. K. Bailey and T. G. Whitham,2003,"Interactions among elk, aspen, galling sawflies and insectivorous birds",Oikos,101,127-134,English,,USA,Arizona,Coconino National Forest ,,35.5 N,111.9 W,35.5,-111.9,,Broadleaf,Populus tremuloides,,,Regenerated after wildfire in 1996,CI,2,GRAZ,Exclusion of elk (Cervus canadensis),"InsAbuns, InsPerf",Phyllocolpa bozemanii (sawfly),,,Study also reports on simulated browsing,"http://scholar.google.co.uk/scholar?q=Interactions+among+elk,+aspen,+galling+sawflies+and+insectivorous+birds&btnG=&hl=en&as_sdt=0%2C5"
Bakker and Moore (2007),J. D. Bakker and M. M. Moore,2007,"Controls on vegetation structure in Southwestern ponderosa pine forests, 1941 and 2004",Ecology,88,2305-2319,English,,USA,Arizona,Coconino National Forest (Big Fill; Black Springs; Fry Park; Reese Tank); Northern Arizona University's Centennial Forest (Rogers Lake),,35 N,112 W,35.07,-111.78,2070-2490,Coniferous,Pinus ponderosa,,,,CI,5,GRAZ,Exclusion of cattle and sheep (but not wild ungulates),"TreeAbunt, VertDiam, VertAge, VascAbunt, VascRich",,Trees and other vascular plants,Vertical stand structure,,"http://scholar.google.co.uk/scholar?q=Controls+on+vegetation+structure+in+Southwestern+ponderosa+pine+forests,+1941+and+2004&btnG=&hl=en&as_sdt=0%2C5"
Sackett and Haase (1998),S. S. Sackett and S. M. Haase,1998,Two case histories for using prescribed fire to restore ponderosa pine ecosystems in northern Arizona,"Fire in ecosystem management: shifting the paradigm from suppression to prescription: proceedings of the 20th Tall Timbers Fire Ecology Conference, 7-10, May 1996, Boise, Idaho, USA (T. L. Pruden and L. A. Brennan, eds.), ",,380-389,English,,USA,Arizona,"Coconino National Forest (Chimney Spring, Fort Valley Experimental Forest; Limestone Flats, Long Valley Experimental Forest)",,34.6-35.3 N,111.1-111.7 W,35,-111.4,,Coniferous,Pinus ponderosa,,,,BA (dead wood); CI (tree mortality),3 in each of 2 areas,BURN,Prescribed burning (6 different frequencies),"DeadAbunt, DeadDv, TreeMort",,Trees (mortality),Dead wood,Site locations from Scudieri et al. (2010),http://scholar.google.co.uk/scholar?q=Two+case+histories+for+using+prescribed+fire+to+restore+ponderosa+pine+ecosystems+in+northern+Arizona&btnG=&hl=en&as_sdt=0%2C5
Scudieri et al. (2010),"C. A. Scudieri, C. H. Sieg, S. M. Haase, A. E. Thode and S. S. Sackett",2010,"Understory vegetation response after 30 years of interval prescribed burning in two ponderosa pine sites in northern Arizona, USA",Forest Ecology and Management,260,2134-2142,English,,USA,Arizona,"Coconino National Forest (Chimney Spring, Fort Valley Experimental Forest; Limestone Flats, Long Valley Experimental Forest)",,34.6-35.3 N,111.1-111.7 W,35,-111.4,2100-2250,Coniferous,Pinus ponderosa,,,,CI,3 in each of 2 areas,BURN,Prescribed burning (6 different frequencies),"TreeAbunt, VascAbuns, VascAbunt, VascRich",Elymus elymoides (squirreltail),Trees and other vascular plants,,,"http://scholar.google.co.uk/scholar?q=Understory+vegetation+response+after+30+years+of+interval+prescribed+burning+in+two+ponderosa+pine+sites+in+northern+Arizona,+USA&btnG=&hl=en&as_sdt=0%2C5"
Abella and Covington (2007),S. R. Abella and W. W. Covington,2007,Forest-floor treatments in Arizona ponderosa pine restoration ecosystems: No short-term effects on plant communities,Western North American Naturalist,67,120-132,English,,USA,Arizona,Coconino National Forest (Fort Valley Experimental Forest),,35.27 N,111.72 W,35.27,-111.72,2300,Coniferous,Pinus ponderosa,,,,CI (thinning/burning); BACI (litter removal/scarification),3,"BURN, LITT, OTHER, THIN",Thinning; prescribed burning; litter removal; scarification,"TreeAbunt, VascDiv, VascRich, VascComp, VascAbuns",,Vascular plants,,,http://scholar.google.co.uk/scholar?q=Forest-floor+treatments+in+Arizona+ponderosa+pine+restoration+ecosystems:+No+short-term+effects+on+plant+communities&btnG=&hl=en&as_sdt=0%2C5
Converse et al. (2006a),"S. J. Converse, W. M. Block and G. C. White",2006,Small mammal population and habitat responses to forest thinning and prescribed fire,Forest Ecology and Management,228,263-273,English,,USA,Arizona,Coconino National Forest (Fort Valley Experimental Forest),,35.3 N,111.7 W,35.27,-111.72,2300,Coniferous,Pinus ponderosa,,,,BACI,3,"BURN, THIN",Thinning; prescribed burning (fuel reduction),"TreeAbunt, VascAbunt, DeadAbunt, MammAbuns",,Small mammals,,,http://scholar.google.co.uk/scholar?q=Small+mammal+population+and+habitat+responses+to+forest+thinning+and+prescribed+fire&btnG=&hl=en&as_sdt=0%2C5
Huffman et al. (2009),"D. W. Huffman, D. C. Laughlin, K. M. Pearson and S. Pandey",2009,Effects of vertebrate herbivores and shrub characteristics on arthropod assemblages in a northern Arizona forest ecosystem,Forest Ecology and Management,258,616-625,English,,USA,Arizona,Coconino National Forest (Fort Valley Experimental Forest),,35.27 N,111.68 W,35.27,-111.72,2225-2380,Coniferous,Pinus ponderosa ,,,,CI,30-52,GRAZ,Exclusion of large ungulates (e.g. mule deer and Rocky Mountain elk) around individual Ceanothus fendleri shrubs. (Thinning and prescribed burning performed in all plots.),"BeetsAbuns, BeetsAbunt, BeetgAbuns, BeetgAbunt, BeetoAbuns, BeetoAbunt, InsAbuns, InsAbunt, InsRich, InsDiv, ArthAbuns, ArthAbunt, ArthRich, ArthDiv",,Arthropods,,,http://scholar.google.co.uk/scholar?q=Effects+of+vertebrate+herbivores+and+shrub+characteristics+on+arthropod+assemblages+in+a+northern+Arizona+forest+ecosystem&btnG=&hl=en&as_sdt=0%2C5
Stoddard et al. (2008),"M. T. Stoddard, C. M. McGlone and P. Z. Fulé",2008,Effects of ecological restoration alternative treatments on nonnative plant species establishment,"Fort Valley Experimental Forest - A Century of Research 1908-2008. Conference Proceedings; August 7-9, 2008; Flagstaff, AZ (S. D. Olberding and M. M.  Moore, eds.), USDA Forest Service",RMRS-P-55,250-256,English,,USA,Arizona,Coconino National Forest (Fort Valley Experimental Forest),,35.27 N,111.73 W,35.27,-111.72,,Coniferous,Pinus ponderosa,,,,BACI,1,"BURN, THIN",Thinning; prescribed burning,"VascRich, VascAbuns, VascAbunt, InvasAbunt, InvasAbuns, InvasRich",,"Vascular plants, native and nonnative",,,http://scholar.google.co.uk/scholar?q=Effects+of+ecological+restoration+alternative+treatments+on+nonnative+plant+species+establishment&btnG=&hl=en&as_sdt=0%2C5
Stoddard et al. (2011),"M. T. Stoddard, C. M. McGlone, P. Z. Fulé, D. C. Laughlin and M. L. Daniels",2011,Native plants dominate understory vegetation following ponderosa pine forest restoration treatments,Western North American Naturalist,71,206-214,English,,USA,Arizona,Coconino National Forest (Fort Valley Experimental Forest),,35.27 N,111.69 W,35.27,-111.72,2250,Coniferous,Pinus ponderosa,Mature,,,BACI,3,"BURN, THIN",Thinning; prescribed burning,"VascAbunt, VascRich, VascComp",,Vascular plants,,,http://scholar.google.co.uk/scholar?q=Native+plants+dominate+understory+vegetation+following+ponderosa+pine+forest+restoration+treatments&btnG=&hl=en&as_sdt=0%2C5
Korb et al. (2003),"J. E. Korb, N. C. Johnson and W. W. Covington",2003,Arbuscular mycorrhizal propagule densities respond rapidly to ponderosa pine restoration treatments,Journal of Applied Ecology,40,101-110,English,,USA,Arizona,Coconino National Forest (Fort Valley Experimental Forest); Grand Canyon–Parashant National Monument (Mt. Trumbull),,35.27-36.37 N,111.69-113.12 W,35.27,-111.72,,Coniferous,Pinus ponderosa,,,,BACI,6,"BURN, THIN",Thinning; prescribed burning,"TreeAbunt, FungAbunt, VascAbunt, VascDiv",,Arbuscular mycorrhizae and ectomycorrhizal fungi,,"One site (Mt. Trumbull) outside relevant vegetation zones, but included as a ponderosa pine forest. Site coordinates from McGlone et al. (2012).",http://scholar.google.co.uk/scholar?q=Arbuscular+mycorrhizal+propagule+densities+respond+rapidly+to+ponderosa+pine+restoration+treatments&btnG=&hl=en&as_sdt=0%2C5
McGlone et al. (2012),"C. M. McGlone, M. T. Stoddard, J. D. Springer, M. L. Daniels, P. Z. Fulé and W. W. Covington",2012,Nonnative species influence vegetative response to ecological restoration: Two forests with divergent restoration outcomes,Forest Ecology and Management,285,195-203,English,,USA,Arizona,Coconino National Forest (Fort Valley Experimental Forest); Grand Canyon–Parashant National Monument (Mt. Trumbull),,35.27-36.37 N,111.69-113.12 W,35.27,-111.72,2150-2250 ,Coniferous; mixed,"Pinus ponderosa, Quercus gambelii",,,,BACI,7,"BURN, THIN",Thinning; prescribed burning,"VascAbunt, VascRich, InvasAbunt, InvasAbuns, InvasRich",,"Vascular plants, native and nonnative",,"One site (Mt. Trumbull) outside relevant vegetation zones, but included as a ponderosa pine forest",http://scholar.google.co.uk/scholar?q=Nonnative+species+influence+vegetative+response+to+ecological+restoration:+Two+forests+with+divergent+restoration+outcomes&btnG=&hl=en&as_sdt=0%2C5
Bakker et al. (2010),"J. D. Bakker, F. Rudebusch and M. M. Moore",2010,Effects of long-term livestock grazing and habitat on understory vegetation,Western North American Naturalist,70,334-344,English,,USA,Arizona,Coconino National Forest (Fry Park),,35.07 N,111.78 W,35.07,-111.78,2170,Coniferous,Pinus ponderosa,Old but managed,,,CI,1,GRAZ,Exclusion of livestock (since 1912),"TreeAbunt, VascAbuns, VascAbunt, VascRich, InvasAbunt, InvasRich",,"Vascular plants, native and nonnative",,Study also reports on treeless grassland ('park'). Some results do not distinguish between forest and grassland.,http://scholar.google.co.uk/scholar?q=Effects+of+long-term+livestock+grazing+and+habitat+on+understory+vegetation&btnG=&hl=en&as_sdt=0%2C5
Laughlin et al. (2008),"D. C. Laughlin, J. D. Bakker, M. L. Daniels, M. M. Moore, C. A. Casey and J. D. Springer",2008,Restoring plant species diversity and community composition in a ponderosa pine-bunchgrass ecosystem,Plant Ecology,197,139-151,English,,USA,Arizona,"Coconino National Forest (Gus Pearson Natural Area, Fort Valley Experimental Forest)",,35.27 N,111.75 W,35.27,-111.75,2195-2255,Coniferous,Pinus ponderosa,,,,BACI,5,"BURN, LITT, THIN",Thinning; litter manipulation; prescribed burning. (Ungulates excluded from all plots.),"VascRich, VascComp",,Vascular plants,,,http://scholar.google.co.uk/scholar?q=Restoring+plant+species+diversity+and+community+composition+in+a+ponderosa+pine-bunchgrass+ecosystem&btnG=&hl=en&as_sdt=0%2C5
